,HS,Avg,SR,50/I,6+4/BF,Class
164,91.0,25.25,72.66,0.125,0.07913669064748201,RS
165,63.0,22.41,112.38,0.2,0.14749262536873156,NRS
166,64.0,22.25,55.53,0.15789473684210525,0.0608424336973479,NRS
167,37.0,16.63,63.32,0.0,0.052104208416833664,NRS
168,82.0,30.0,69.12,0.16666666666666666,0.06451612903225806,NRS
169,62.0,21.76,65.96,0.13333333333333333,0.046620046620046623,NRS
170,99.0,24.81,60.0,0.08333333333333333,0.04615384615384616,NRS
171,96.0,15.47,91.63,0.05882352941176471,0.0940766550522648,NRS
172,80.0,31.62,95.47,0.07142857142857142,0.11320754716981132,NRS
173,70.0,20.66,57.8,0.14285714285714285,0.06526806526806526,NRS
174,59.0,11.18,52.67,0.045454545454545456,0.0728051391862955,NRS
175,45.0,20.0,70.79,0.0,0.11209439528023599,NRS
176,77.0,18.91,57.17,0.08333333333333333,0.07052896725440806,NRS
177,80.0,19.0,51.73,0.09090909090909093,0.04455445544554455,NRS
178,34.0,9.28,64.35,0.0,0.06930693069306931,NRS
179,36.0,11.87,83.33,0.0,0.10087719298245612,NRS
180,59.0,14.0,95.78,0.05555555555555555,0.1,NRS
181,49.0,14.81,63.42,0.0,0.10505836575875488,NRS
182,22.0,13.58,79.9,0.0,0.0784313725490196,NRS
183,46.0,21.71,68.46,0.0,0.027027027027027032,NRS
184,39.0,11.07,62.06,0.0,0.05603448275862069,NRS
