,Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I,6+4/BF,Class
90,CO Obuya (KENYA),2001-2003,3,22,11.181818181818182,29,12.94,58.85,0.0,0.0,0.05502392344497608,NRS
91,Tapash Baisya (BDESH),2003-2006,4,30,8.166666666666666,33,11.13,57.37,0.0,0.0,0.049180327868852465,NRS
92,DL Vettori (NZ),2001-2003,3,31,7.774193548387097,30,12.68,70.26,0.0,0.0,0.043731778425655975,NRS
93,NS Poonia (SCOT),2006-2009,4,21,11.285714285714285,67,11.28,62.86,0.0,0.047619047619047616,0.08753315649867374,NRS
94,DO Obuya (KENYA),2001-2003,3,23,9.869565217391305,57,10.8,46.13,0.0,0.043478260869565216,0.054878048780487805,NRS
95,P Kumar (INDIA),2007-2010,4,24,9.375,54,13.23,85.22,0.0,0.04166666666666666,0.0946969696969697,NRS
96,Manjural Islam Rana (BDESH),2004-2006,3,17,13.058823529411766,43,17.07,47.84,0.0,0.0,0.03017241379310345,NRS
97,Fawad Alam (PAK),2007-2009,3,12,17.5,63,42.0,73.68,0.0,0.08333333333333333,0.04912280701754386,NRS
98,DC Thomas (WI),2011-2013,3,18,11.611111111111109,37,12.29,62.95,0.0,0.0,0.0572289156626506,NRS
99,TG Southee (NZ),2008-2012,5,31,6.709677419354839,32,10.94,88.51,0.0,0.0,0.08085106382978724,NRS
100,HS Baidwan (CAN),2008-2011,4,16,12.5625,33,22.33,67.0,0.0,0.0,0.04,NRS
101,CK Coventry (ZIM),2003-2006,4,10,19.9,74,19.9,85.77,0.0,0.1,0.11206896551724138,NRS
102,Mohammad Sami (PAK),2001-2004,4,33,5.909090909090909,23,13.0,61.9,0.0,0.0,0.0380952380952381,NRS
103,WD Parnell (SA),2009-2012,4,13,14.0,49,18.2,74.89,0.0,0.0,0.06584362139917696,NRS
104,RW Chakabva (ZIM),2008-2011,4,10,17.6,45,19.55,59.45,0.0,0.0,0.054054054054054064,NRS
105,KS Lokuarachchi (SL),2003-2006,4,13,13.384615384615385,69,15.81,78.02,0.0,0.07692307692307693,0.04932735426008968,NRS
106,ML Nkala (ZIM),2001-2005,5,19,9.105263157894736,47,11.53,58.44,0.0,0.0,0.05067567567567568,NRS
107,Usman Limbada (CAN),2010-2013,4,10,17.0,50,18.88,68.82,0.0,0.1,0.07692307692307693,NRS
108,CL White (AUS),2005-2007,3,10,15.7,45,22.42,116.29,0.0,0.0,0.11851851851851852,NRS
109,MA Ouma (KENYA),2004-2006,3,11,13.636363636363635,49,13.63,44.11,0.0,0.0,0.04411764705882353,NRS
110,AD Poynter (IRE),2008-2010,3,11,13.545454545454545,78,18.62,56.65,0.0,0.09090909090909093,0.049429657794676805,NRS
111,Tushar Imran (BDESH),2005-2007,3,15,9.866666666666667,32,9.86,49.66,0.0,0.0,0.053691275167785234,NRS
112,CS Baugh (WI),2003-2006,4,11,13.272727272727273,29,24.33,81.56,0.0,0.0,0.09497206703910614,NRS
113,KAJ Roach (WI),2008-2012,5,25,5.52,24,11.5,48.59,0.0,0.0,0.04225352112676056,NRS
114,T Mupariwa (ZIM),2006-2009,4,21,6.523809523809524,33,9.78,52.69,0.0,0.0,0.04230769230769231,NRS
