,Player,Span,Years,Inns,NO/I,R/I,Avrg,SR,100/I,50/I,6+4/BF,Class
26,Junaid Siddique (BDESH),2007-2011,4,53,0.018867925,22.56603774,23.0,68.22,0.018867925,0.11320754699999999,0.071306332,NRS
148,Asghar Stanikzai (AFG),2009-2012,3,21,0.14285714300000002,22.095238100000003,25.77,56.44,0.0,0.14285714300000002,0.048661800000000005,NRS
22,RG Sharma (INDIA),2007-2011,4,57,0.19298245600000002,21.89473684,27.13,75.72,0.035087718999999996,0.087719298,0.061893204,NRS
23,CK Kapugedera (SL),2007-2011,4,57,0.10526315800000001,21.73684211,24.29,71.24,0.0,0.10526315800000001,0.061529615,NRS
151,RD Berrington (SCOT),2008-2011,3,18,0.055555556,21.5,22.76,81.3,0.0,0.166666667,0.079831933,NRS
37,RA Jadeja (INDIA),2009-2012,3,40,0.25,21.5,28.66,78.61,0.0,0.125,0.066727605,RS
210,PL Mommsen (SCOT),2010-2013,3,19,0.10526315800000001,21.47368421,24.0,56.04,0.0,0.15789473699999998,0.049450549,NRS
263,JDS Neesham (NZ),2013-2016,3,22,0.272727273,21.45454545,29.5,91.65,0.0,0.090909091,0.108737864,RS
208,MJ Prior (ENG),2004-2007,3,22,0.0,21.31818182,21.31,72.93,0.0,0.045454545,0.093312597,NRS
62,DA Miller (SA),2010-2013,3,18,0.27777777800000003,21.27777778,29.46,101.05,0.0,0.166666667,0.09762533,RS
147,LJ Wright (ENG),2007-2010,3,22,0.090909091,21.22727273,23.35,102.41,0.0,0.090909091,0.131578947,NRS
194,RL Powell (WI),2001-2004,3,62,0.225806452,21.08064516,27.22,96.74,0.0,0.08064516099999999,0.12065136900000001,RS
47,KA Pollard (WI),2008-2011,3,34,0.0,21.05882353,21.05,104.22,0.0,0.088235294,0.113537118,NRS
260,TM Odoyo (KENYA),2001-2004,3,30,0.066666667,20.83333333,22.32,64.16,0.0,0.066666667,0.074948665,NRS
270,Jahurul Islam (BDESH),2010-2013,3,13,0.076923077,20.76923077,22.5,72.77,0.0,0.076923077,0.07277628,NRS
215,GEF Barnett (CAN),2006-2009,3,16,0.0,20.75,20.75,61.59,0.0,0.0625,0.07792207799999999,NRS
54,RR Patel (KENYA),2009-2013,4,26,0.153846154,20.26923077,23.95,65.3,0.0,0.076923077,0.07187112799999999,NRS
40,CJ Chibhabha (ZIM),2006-2010,4,41,0.0,20.17073171,20.17,58.69,0.0,0.146341463,0.048970901,NRS
77,CK Coventry (ZIM),2003-2006,3,10,0.0,19.9,19.9,85.77,0.0,0.1,0.11206896599999999,NRS
28,S Matsikenyeri (ZIM),2003-2007,4,58,0.068965517,19.84482759,21.31,65.99,0.0,0.08620689699999999,0.075688073,NRS
29,IK Pathan (INDIA),2004-2008,4,58,0.18965517199999998,19.84482759,24.48,78.78,0.0,0.08620689699999999,0.09582477800000001,RS
20,Mushfiqur Rahim (BDESH),2007-2011,4,68,0.161764706,19.83823529,23.66,69.0,0.0,0.088235294,0.061892583,NRS
144,MA Ouma (KENYA),2004-2007,3,31,0.032258065,19.38709677,20.03,59.74,0.0,0.09677419400000001,0.07057654099999999,NRS
48,H Masakadza (ZIM),2004-2007,3,36,0.055555556,19.33333333,20.47,64.44,0.0,0.13888888900000002,0.060185185,NRS
153,A Bagai (CAN),2003-2007,4,19,0.15789473699999998,18.73684211,22.25,55.53,0.0,0.15789473699999998,0.060842434,NRS
265,RM Haq (SCOT),2006-2009,3,21,0.0,18.47619048,18.47,66.09,0.0,0.14285714300000002,0.083475298,NRS
27,DD Ebrahim (ZIM),2001-2004,3,63,0.063492063,18.46031746,19.71,57.34,0.015873016,0.031746032,0.043392505,NRS
155,TT Bresnan (ENG),2006-2009,3,14,0.428571429,18.07142857,31.62,95.47,0.0,0.071428571,0.11320754699999999,RS
33,DJ Bravo (WI),2004-2007,3,55,0.254545455,18.03636364,24.19,79.1,0.018181818,0.036363636,0.07416267900000001,NRS
152,Alok Kapali (BDESH),2005-2008,3,20,0.05,17.8,18.73,78.24,0.05,0.05,0.079120879,NRS
267,BJ Patel (KENYA),2001-2004,3,18,0.111111111,17.72222222,19.93,52.38,0.0,0.0,0.073891626,NRS
157,LMP Simmons (WI),2006-2009,3,14,0.14285714300000002,17.71428571,20.66,57.8,0.0,0.14285714300000002,0.065268065,NRS
80,RW Chakabva (ZIM),2008-2011,3,10,0.1,17.6,19.55,59.45,0.0,0.0,0.054054054000000004,NRS
206,Mohammad Hafeez (PAK),2003-2006,3,35,0.028571429,17.37142857,17.88,52.82,0.0,0.085714286,0.06516073,NRS
63,SPD Smith (AUS),2010-2013,3,22,0.181818182,17.27272727,21.11,86.75,0.0,0.0,0.068493151,NRS
158,CL White (AUS),2005-2008,3,12,0.333333333,17.08333333,25.62,112.63,0.0,0.0,0.10989011,RS
65,SR Watson (AUS),2002-2005,3,20,0.45,17.05,31.0,68.06,0.0,0.05,0.045908184000000005,RS
84,Usman Limbada (CAN),2010-2013,3,10,0.1,17.0,18.88,68.82,0.0,0.1,0.076923077,NRS
38,BB McCullum (NZ),2002-2005,3,51,0.254901961,16.68627451,22.39,71.51,0.0,0.058823529000000006,0.07226890799999999,NRS
159,AD Poynter (IRE),2008-2011,3,12,0.25,16.66666667,22.22,67.34,0.0,0.166666667,0.067340067,RS
