Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I
GJ Maxwell (AUS),2012-2014,3,12,31.583333333333332,93,34.45,125.49,0.0,0.3333333333333333,
CJ Anderson (NZ),2013-2016,4,12,31.25,131,37.50,147.05,0.08333333333333333,0.0,
Sabbir Rahman (BDESH),2014-2017,4,15,24.933333333333334,65,24.93,85.97,0.0,0.2,
GA Gooch (ENG),1976-1979,4,12,29.833333333333332,94,32.54,59.56,0.0,0.25,
DS Smith (WI),2004-2007,4,14,25.571428571428573,61,29.83,65.80,0.0,0.07142857142857142,
SD Outerbridge (BMUDA),2006-2009,4,23,14.608695652173912,56,14.60,54.90,0.0,0.043478260869565216,
A Symonds (AUS),1999-2001,3,10,33.6,68,37.33,100.90,0.0,0.2,
RD Berrington (SCOT),2009-2013,5,14,23.428571428571427,84,23.42,70.53,0.0,0.21428571428571427,
SR Watson (AUS),2004-2007,4,11,28.545454545454547,79,34.88,82.63,0.0,0.36363636363636365,
GS Blewett (AUS),1995-1997,3,14,22.214285714285715,57,25.91,61.58,0.0,0.14285714285714285,
GS Ballance (ENG),2013-2015,3,14,21.142857142857142,79,21.14,66.96,0.0,0.14285714285714285,
J Mubarak (SL),2003-2006,4,14,19.071428571428573,61,19.07,60.68,0.0,0.14285714285714285,
KJ Hughes (AUS),1977-1980,4,17,15.588235294117647,52,17.66,60.64,0.0,0.11764705882352941,
Jahurul Islam (BDESH),2010-2012,3,10,23.3,53,23.30,69.13,0.0,0.1,
Fawad Alam (PAK),2008-2010,3,11,20.727272727272727,64,28.50,74.26,0.0,0.09090909090909091,
DLS van Bunge (NL),2006-2008,3,13,16.153846153846153,34,17.50,57.06,0.0,0.0,
JDP Oram (NZ),2001-2004,4,10,16.2,59,16.20,88.52,0.0,0.1,
VVS Laxman (INDIA),1998-2000,3,10,6.2,23,6.20,28.18,0.0,0.0,
ME Trescothick (ENG),2000-2002,3,50,36.66,137,37.40,89.02,0.08,0.18,
Yasir Hameed (PAK),2003-2005,3,46,37.108695652173914,127,37.93,68.47,0.06521739130434782,0.1956521739130435,
JJ Roy (ENG),2015-2017,3,45,32.48888888888889,162,34.00,101.10,0.06666666666666667,0.2,
HJH Marshall (NZ),2003-2006,4,46,25.282608695652176,101,29.82,71.13,0.021739130434782608,0.21739130434782608,
ND McKenzie (SA),2000-2002,3,33,33.90909090909091,131,39.96,67.28,0.06060606060606061,0.15151515151515152,
JD Ryder (NZ),2008-2011,4,30,34.7,107,35.89,90.99,0.06666666666666667,0.16666666666666666,
A Flower (ZIM),1992-1995,4,33,31.151515151515152,115,33.16,67.67,0.030303030303030304,0.21212121212121213,
RR Rossouw (SA),2014-2016,3,29,34.241379310344826,132,35.46,91.26,0.06896551724137931,0.20689655172413793,
SE Marsh (AUS),2008-2010,3,26,37.96153846153846,112,39.48,76.15,0.038461538461538464,0.2692307692307692,
HM Amla (SA),2008-2010,3,23,42.130434782608695,140,48.45,84.18,0.043478260869565216,0.30434782608695654,
MD Gunathilaka (SL),2015-2017,3,30,30.533333333333335,116,30.53,85.76,0.03333333333333333,0.23333333333333334,
Asad Shafiq (PAK),2010-2012,3,33,27.606060606060606,78,30.36,68.91,0.0,0.21212121212121213,
A Bagai (CAN),2006-2008,3,30,29.933333333333334,137,33.25,63.01,0.06666666666666667,0.2,
GP Thorpe (ENG),1994-1996,3,23,37.56521739130435,89,45.47,70.99,0.0,0.34782608695652173,
MJ Greatbatch (NZ),1988-1990,3,30,28.733333333333334,111,33.15,74.82,0.06666666666666667,0.13333333333333333,
JG Wright (NZ),1978-1981,4,22,36.04545454545455,81,37.76,52.23,0.0,0.2727272727272727,
PV Simmons (WI),1987-1989,3,25,31.48,104,32.79,74.03,0.04,0.2,
GA Hick (ENG),1991-1993,3,23,33.69565217391305,105,38.75,76.65,0.043478260869565216,0.2608695652173913,
