,id,Player,Span,Years,Inns,R/I,HS,Avrg,SR,100/I,50/I,6+4/BF,Class
160,160,JWA Taylor (ENG),2011-2014,3,6,32.66666667,90,32.66,73.96,0,0.333333333,0.067924528,RS
163,163,LE Plunkett (ENG),2006-2010,4,17,9.705882353,29,20.62,97.63,0,0,0.071005917,NRS
164,164,TC Bastiampillai (CAN),2007-2010,3,11,14.81818182,49,14.81,63.42,0,0,0.105058366,NRS
166,166,Faisal Iqbal (PAK),2003-2006,3,9,16.33333333,32,16.33,50,0,0,0.037414966,NRS
167,167,J Mubarak (SL),2002-2006,4,9,16.33333333,53,16.33,58.8,0,0.111111111,0.068,NRS
168,168,R Clarke (ENG),2003-2006,3,13,11.07692308,39,11.07,62.06,0,0,0.056034483,NRS
172,172,RT Lyons (SCOT),2006-2009,3,10,8.6,28,28.66,61.42,0,0,0.057142857,NRS
177,177,NM Odhiambo (KENYA),2010-2013,3,5,11,29,11,48.67,0,0,0.026548673,NRS
180,180,Hammad Azam (PAK),2012-2015,3,3,12.66666667,30,12.66,70.37,0,0,0.074074074,NRS
185,185,MMA Jonkman (NL),2007-2010,3,2,10,13,10,39.21,0,0,0.039215686,NRS
189,189,JE Root (ENG),2013-2016,3,73,41.32876712,125,45.71,85.51,0.109589041,0.232876712,0.077097506,RS
190,190,V Sehwag (INDIA),2001-2004,3,98,30.48979592,130,32.47,94.73,0.06122449,0.142857143,0.145529486,RS
191,191,MS Dhoni (Asia/INDIA),2004-2007,3,68,33.85294118,183,46.97,98.75,0.044117647,0.191176471,0.111969112,RS
192,192,MJ Guptill (NZ),2009-2012,3,63,34.14285714,122,37.73,80.62,0.031746032,0.26984127,0.094452774,RS
193,193,MDKJ Perera (SL),2013-2016,3,56,26.83928571,135,28.35,91.59,0.053571429,0.125,0.117611213,RS
194,194,RL Powell (WI),2001-2004,3,62,21.08064516,88,27.22,96.74,0,0.080645161,0.120651369,RS
195,195,RS Bopara (ENG),2007-2011,4,47,23.59574468,60,28.43,71.82,0,0.085106383,0.069300518,NRS
196,196,Nasir Jamshed (PAK),2012-2015,3,36,29.58333333,112,30.42,69.51,0.083333333,0.111111111,0.074412533,NRS
197,197,C Kieswetter (ENG),2010-2013,3,40,26.35,107,30.11,89.93,0.025,0.125,0.11774744,RS
198,198,DA Warner (AUS),2009-2012,3,34,30.88235294,163,30.88,81.83,0.058823529,0.147058824,0.092751364,RS
199,199,CJ Anderson (NZ),2013-2016,3,40,26.175,131,29.91,111.02,0.025,0.1,0.143160127,RS
200,200,KJ O'Brien (IRE),2006-2009,3,31,28.51612903,142,31.57,78.29,0.032258065,0.129032258,0.081488043,RS
201,201,JP Faulkner (AUS),2013-2016,3,38,22.97368421,116,39.68,111.77,0.026315789,0.105263158,0.131882202,RS
202,202,JDP Oram (NZ),2001-2004,3,50,15.72,81,17.86,76.01,0,0.06,0.084139265,NRS
203,203,AN Cook (ENG),2007-2010,3,24,32.41666667,102,32.41,70.09,0.041666667,0.208333333,0.073873874,NRS
204,204,AM Rahane (INDIA),2011-2014,3,27,25.44444444,91,25.44,72.16,0,0.185185185,0.074579832,NRS
205,205,AD Russell (WI),2011-2014,3,28,23.78571429,92,30.27,119.78,0,0.107142857,0.165467626,RS
206,206,Mohammad Hafeez (PAK),2003-2006,3,35,17.37142857,69,17.88,52.82,0,0.085714286,0.06516073,NRS
207,207,AM Blignaut (ZIM),2001-2004,3,29,16.55172414,63,21.81,111.36,0,0.137931034,0.134570766,RS
208,208,MJ Prior (ENG),2004-2007,3,22,21.31818182,52,21.31,72.93,0,0.045454545,0.093312597,NRS
209,209,Imran Nazir (PAK),2004-2007,3,17,26.11764706,160,26.11,98.88,0.058823529,0.058823529,0.151447661,RS
210,210,PL Mommsen (SCOT),2010-2013,3,19,21.47368421,91,24,56.04,0,0.157894737,0.049450549,NRS
211,211,Samiullah Shenwari (AFG),2009-2012,3,16,23.5,82,26.85,62.98,0,0.125,0.060301508,NRS
212,212,DS Smith (WI),2004-2007,3,14,25.57142857,61,29.83,65.8,0,0.071428571,0.073529412,NRS
213,213,CR Woakes (ENG),2011-2015,4,24,14.08333333,41,17.78,78.06,0,0,0.057736721,NRS
214,214,SD Outerbridge (BMUDA),2006-2009,3,23,14.60869565,56,14.6,54.9,0,0.043478261,0.052287582,NRS
215,215,GEF Barnett (CAN),2006-2009,3,16,20.75,77,20.75,61.59,0,0.0625,0.077922078,NRS
216,216,PW Borren (NL),2006-2009,3,20,16.15,96,16.15,94.72,0,0.1,0.099706745,NRS
217,217,NN Odhiambo (KENYA),2006-2009,3,28,11.28571429,66,14.36,76.88,0,0.035714286,0.085158151,NRS
218,218,SP Narine (WI),2011-2014,3,32,8.5,36,10.46,78.61,0,0,0.098265896,NRS
220,220,U Bhatti (CAN),2006-2009,3,21,11.42857143,46,16,76.43,0,0,0.073248408,NRS
221,221,DNT Zoysa (SL),2001-2004,3,24,9.541666667,47,19.08,106.01,0,0,0.12037037,NRS
222,222,JM Bairstow (ENG),2011-2015,4,9,24.33333333,83,27.37,86.22,0,0.111111111,0.102362205,RS
223,223,J Botha (Afr/SA),2005-2008,3,14,11.57142857,46,18,86.63,0,0,0.080213904,NRS
225,225,R Rampaul (WI),2007-2010,3,15,8.666666667,26,9.28,82.8,0,0,0.101910828,NRS
227,227,M Morkel (Afr/SA),2007-2010,3,10,10.2,25,14.57,94.44,0,0,0.12037037,NRS
229,229,Kabir Ali (ENG),2003-2006,3,9,10.33333333,39,15.5,86.11,0,0,0.083333333,NRS
231,231,JA Morkel (Afr/SA),2004-2007,3,8,10.625,23,12.14,73.91,0,0,0.086956522,NRS
234,234,MK Tiwary (INDIA),2008-2011,3,5,12.2,24,12.2,66.3,0,0,0.076086957,NRS
235,235,SC Joseph (WI),2001-2004,3,5,11.8,23,14.75,43.38,0,0,0.022058824,NRS
239,239,RO Hussain (SCOT),2007-2010,3,6,7.833333333,17,9.4,47.95,0,0,0.051020408,NRS
242,242,Yasir Arafat (PAK),2005-2008,3,4,9.5,27,19,76,0,0,0.1,NRS
247,247,KC Sangakkara (SL),2001-2004,3,98,28.54081633,103,32.9,72.51,0.030612245,0.173469388,0.070780399,NRS
248,248,DPMD Jayawardene (SL),2001-2004,3,90,29.66666667,116,32.96,71.52,0.033333333,0.155555556,0.056790785,NRS
249,249,Younis Khan (PAK),2001-2004,3,87,29.05747126,144,34.16,77.02,0.011494253,0.218390805,0.061243144,RS
250,250,HH Dippenaar (SA),2001-2004,3,56,37.25,110,44.38,66.15,0.017857143,0.303571429,0.065334602,NRS
251,251,KP Pietersen (ENG/ICC),2004-2007,3,45,45.02222222,116,56.27,91.46,0.111111111,0.311111111,0.105643341,RS
252,252,A Flintoff (ENG),2001-2004,3,56,32.23214286,123,39.23,94.4,0.053571429,0.196428571,0.115585774,RS
253,253,GJ Maxwell (AUS),2012-2015,3,50,30.7,102,34.88,126.44,0.02,0.24,0.170510708,RS
254,254,HJH Marshall (NZ),2003-2006,3,47,26.36170213,101,30.97,72.71,0.021276596,0.234042553,0.053403756,NRS
255,255,L Vincent (NZ),2002-2005,3,52,23.42307692,172,27.06,66.01,0.019230769,0.115384615,0.066666667,NRS
256,256,JD Ryder (NZ),2008-2011,3,30,34.7,107,35.89,90.99,0.066666667,0.166666667,0.121503497,RS
257,257,J Charles (WI),2012-2015,3,35,29,130,29,84.44,0.057142857,0.114285714,0.116472546,RS
258,258,TLW Cooper (NL),2010-2013,3,22,44.36363636,101,48.8,70.16,0.045454545,0.363636364,0.061826024,NRS
259,259,JM How (NZ),2005-2008,3,18,39.88888889,139,42.23,72.96,0.055555556,0.333333333,0.088414634,RS
260,260,TM Odoyo (KENYA),2001-2004,3,30,20.83333333,53,22.32,64.16,0,0.066666667,0.074948665,NRS
261,261,AB Agarkar (INDIA),2001-2004,3,44,13.27272727,95,19.46,88.21,0,0.045454545,0.096676737,NRS
262,262,ES Szwarczynski (NL),2006-2009,3,17,29,65,30.81,69.33,0,0.294117647,0.064697609,NRS
263,263,JDS Neesham (NZ),2013-2016,3,22,21.45454545,74,29.5,91.65,0,0.090909091,0.108737864,RS
264,264,N Deonarine (WI),2007-2010,3,15,27.93333333,65,34.91,76.04,0,0.266666667,0.072595281,RS
265,265,RM Haq (SCOT),2006-2009,3,21,18.47619048,71,18.47,66.09,0,0.142857143,0.083475298,NRS
266,266,R Ashwin (INDIA),2010-2013,3,34,11.05882353,38,17.09,83.37,0,0,0.073170732,NRS
267,267,BJ Patel (KENYA),2001-2004,3,18,17.72222222,44,19.93,52.38,0,0,0.073891626,NRS
268,268,SR Patel (ENG),2008-2011,3,13,23.53846154,70,27.81,91.89,0,0.076923077,0.087087087,RS
269,269,Mudassar Bukhari (NL),2007-2010,3,19,14.89473684,71,16.64,65.35,0,0.105263158,0.073903002,NRS
270,270,Jahurul Islam (BDESH),2010-2013,3,13,20.76923077,53,22.5,72.77,0,0.076923077,0.07277628,NRS
271,271,Sohail Tanvir (PAK),2008-2011,3,19,11.31578947,59,16.53,89.21,0,0.052631579,0.107883817,NRS
272,272,DO Obuya (KENYA),2002-2006,4,21,9.904761905,57,10.94,47.59,0,0.047619048,0.052631579,NRS
273,273,FDM Karunaratne (SL),2011-2015,4,13,14.61538462,60,15.83,68.84,0,0.076923077,0.050724638,NRS
275,275,RML Taylor (SCOT),2013-2016,3,14,11,46,14,89.53,0,0,0.081395349,NRS
276,276,SW Masakadza (ZIM),2010-2013,3,8,18.5,45,24.66,100,0,0,0.148648649,NRS
278,278,RS Morton (WI),2002-2005,3,5,22.8,55,22.8,50.44,0,0.2,0.053097345,NRS
279,279,RJ Peterson (SA),2002-2006,4,10,9.8,36,10.88,66.21,0,0,0.060810811,NRS
280,280,BJ Haddin (AUS),2001-2004,3,7,13.71428571,32,13.71,63.57,0,0,0.072847682,NRS
283,283,AC Evans (SCOT),2012-2015,3,7,10,28,23.33,77.77,0,0,0.1,NRS
288,288,VD Philander (SA),2008-2012,4,3,11.66666667,23,17.5,79.54,0,0,0.068181818,NRS
