,id,Player,Span,Years,Inns,R/I,HS,Avrg,SR,100/I,50/I,6+4/BF,Class
117,117,JE Taylor (WI),2006-2008,3,18,6.777777778,43,11.09,97.6,0.0,0.0,0.11199999999999999,NRS
118,118,JEC Franklin (NZ),2001-2004,4,16,7.25,25,8.92,55.23,0.0,0.0,0.047619048,NRS
119,119,L Balaji (INDIA),2002-2005,4,15,7.533333333,21,12.55,79.57,0.0,0.0,0.070422535,NRS
120,120,NB Mahwire (ZIM),2004-2006,3,17,6.647058824,22,11.3,47.67,0.0,0.0,0.029535865,NRS
121,121,Shafiul Islam (BDESH),2010-2013,4,27,4.037037037,24,5.73,55.89,0.0,0.0,0.066666667,NRS
122,122,DCC Borden (BMUDA),2006-2008,3,11,8.909090909,24,14.0,50.25,0.0,0.0,0.046153846,NRS
123,123,RP Singh (INDIA),2006-2009,4,17,5.470588235,23,9.3,40.08,0.0,0.0,0.021551723999999998,NRS
124,124,PM Seelaar (NL),2007-2011,5,16,5.6875,34,11.37,55.15,0.0,0.0,0.060606060999999996,NRS
125,125,CRD Fernando (SL),2001-2003,3,23,3.52173913,13,8.1,52.94,0.0,0.0,0.045751634000000006,NRS
126,126,ST Finn (ENG),2011-2013,3,12,6.666666667,35,13.33,89.88,0.0,0.0,0.123595506,NRS
127,127,KD Mills (NZ),2001-2003,3,11,7.181818182000001,23,11.28,46.74,0.0,0.0,0.035502959,NRS
128,128,SL Malinga (SL),2004-2007,4,17,4.117647058999999,15,7.77,65.42,0.0,0.0,0.046728972,NRS
129,129,Shahadat Hossain (BDESH),2006-2010,5,21,3.333333333,16,7.77,55.11,0.0,0.0,0.062992126,NRS
130,130,JM Anderson (ENG),2002-2006,5,19,3.631578947,12,6.9,36.5,0.0,0.0,0.021164021,NRS
131,131,DT Hondo (ZIM),2001-2003,3,14,4.3571428569999995,15,10.16,42.95,0.0,0.0,0.063380282,NRS
132,132,Syed Rasel (BDESH),2005-2008,4,18,3.111111111,15,4.66,40.28,0.0,0.0,0.035971223,NRS
133,133,Umar Gul (PAK),2006-2008,3,11,5.0,17,9.16,65.47,0.0,0.0,0.083333333,NRS
134,134,RAP Nissanka (SL),2001-2003,3,13,4.076923077,11,6.62,37.85,0.0,0.0,0.035714286,NRS
135,135,Junaid Khan (PAK),2011-2013,3,16,3.0,25,6.0,51.06,0.0,0.0,0.042553191,NRS
136,136,A Nehra (INDIA),2001-2003,3,14,3.357142857,24,9.4,59.49,0.0,0.0,0.06329113900000001,NRS
137,137,Abdur Razzak (BDESH),2004-2006,3,11,4.090909091,21,7.5,70.31,0.0,0.0,0.03125,NRS
138,138,Rubel Hossain (BDESH),2010-2013,4,18,2.388888889,15,5.37,56.57,0.0,0.0,0.065789474,NRS
139,139,E Otieno (KENYA),2008-2011,4,15,2.666666667,11,4.44,33.61,0.0,0.0,0.025210084,NRS
140,140,I Sharma (INDIA),2008-2011,4,10,3.4,13,4.25,33.33,0.0,0.0,0.029411765,NRS
141,141,AJ Ireland (ZIM),2005-2007,3,13,2.307692308,8,3.75,29.7,0.0,0.0,0.01980198,NRS
142,142,TCB Fernando (SL),2001-2003,3,10,2.9,14,7.25,49.15,0.0,0.0,0.0,NRS
143,143,KM Jarvis (ZIM),2009-2012,4,10,2.9,13,4.83,37.66,0.0,0.0,0.025974026,NRS
144,144,EC Rainsford (ZIM),2006-2008,3,11,2.272727273,9,6.25,33.33,0.0,0.0,0.0,NRS
145,145,CB Mpofu (ZIM),2006-2009,4,16,0.875,4,1.75,21.87,0.0,0.0,0.015625,NRS
146,146,Nazmul Hossain (BDESH),2008-2011,4,10,0.5,3,1.25,13.88,0.0,0.0,0.0,NRS
147,147,V Sehwag (INDIA),2001-2003,3,69,32.39130435,126,35.47,96.92,0.072463768,0.15942029,0.15351257599999998,RS
148,148,MJ Guptill (NZ),2009-2011,3,50,31.44,122,35.72,79.75,0.02,0.22,0.09335362800000001,RS
149,149,MS Dhoni (INDIA),2004-2006,3,43,34.11627907,183,48.9,100.96,0.046511628,0.186046512,0.121128699,RS
150,150,IR Bell (ENG),2004-2007,4,40,34.4,88,37.18,69.31,0.0,0.25,0.063476071,NRS
151,151,L Vincent (NZ),2001-2003,3,59,18.83050847,60,21.78,57.06,0.0,0.06779661,0.044684129,NRS
152,152,C Kieswetter (ENG),2010-2012,3,37,27.35135135,107,30.66,91.08,0.027027027000000002,0.135135135,0.118811881,RS
153,153,RL Powell (WI),2001-2003,3,41,20.31707317,88,26.03,100.24,0.0,0.073170732,0.12274368199999999,RS
154,154,KD Karthik (INDIA),2006-2010,5,34,23.76470588,79,29.92,77.09,0.0,0.117647059,0.08587786300000001,RS
155,155,KJ O'Brien (IRE),2006-2008,3,26,29.34615385,142,31.79,80.65,0.038461537999999997,0.115384615,0.08562367900000001,RS
156,156,AD Russell (WI),2011-2013,3,27,24.44444444,92,30.0,119.34,0.0,0.111111111,0.164556962,RS
157,157,TM Odoyo (KENYA),2001-2003,3,28,21.78571429,53,23.46,65.66,0.0,0.071428571,0.077502691,NRS
158,158,Mohammad Hafeez (PAK),2003-2005,3,30,18.1,69,18.1,51.56,0.0,0.1,0.060778727000000005,NRS
159,159,DA Marillier (ZIM),2001-2003,3,30,17.46666667,100,20.15,77.05,0.033333333,0.1,0.077941176,NRS
160,160,LJ Wright (ENG),2007-2010,4,22,21.22727273,52,23.35,102.41,0.0,0.090909091,0.131578947,NRS
161,161,JDP Oram (NZ),2001-2003,3,32,13.875,59,15.85,71.38,0.0,0.03125,0.08038585200000001,NRS
162,162,MA Vermeulen (ZIM),2002-2004,3,18,24.0,79,30.85,71.64,0.0,0.222222222,0.109452736,RS
163,163,G Gambhir (INDIA),2003-2006,4,16,25.5625,103,25.56,75.88,0.0625,0.0625,0.116883117,NRS
164,164,AM Rahane (INDIA),2011-2013,3,16,25.25,91,25.25,72.66,0.0,0.125,0.079136691,RS
165,165,AM Blignaut (ZIM),2001-2003,3,20,19.05,63,22.41,112.38,0.0,0.2,0.147492625,NRS
166,166,A Bagai (CAN),2003-2007,5,19,18.73684211,64,22.25,55.53,0.0,0.15789473699999998,0.060842434,NRS
167,167,AG Cremer (ZIM),2009-2011,3,28,11.28571429,37,16.63,63.32,0.0,0.0,0.052104208,NRS
168,168,Samiullah Shenwari (AFG),2009-2011,3,12,25.0,82,30.0,69.12,0.0,0.166666667,0.064516129,NRS
169,169,OA Shah (ENG),2001-2003,3,15,18.86666667,62,21.76,65.96,0.0,0.133333333,0.046620047000000005,NRS
170,170,CS MacLeod (SCOT),2011-2013,3,12,22.75,99,24.81,60.0,0.0,0.083333333,0.046153846,NRS
171,171,PW Borren (NL),2006-2008,3,17,15.47058824,96,15.47,91.63,0.0,0.058823529000000006,0.094076655,NRS
172,172,TT Bresnan (ENG),2006-2009,4,14,18.07142857,80,31.62,95.47,0.0,0.071428571,0.11320754699999999,NRS
173,173,LMP Simmons (WI),2006-2009,4,14,17.71428571,70,20.66,57.8,0.0,0.14285714300000002,0.065268065,NRS
174,174,Al Sahariar (BDESH),2001-2003,3,22,11.18181818,59,11.18,52.67,0.0,0.045454545,0.072805139,NRS
175,175,MJ Prior (ENG),2004-2006,3,12,20.0,45,20.0,70.79,0.0,0.0,0.112094395,NRS
176,176,GEF Barnett (CAN),2006-2008,3,12,18.91666667,77,18.91,57.17,0.0,0.083333333,0.070528967,NRS
177,177,PL Mommsen (SCOT),2010-2012,3,11,19.0,80,19.0,51.73,0.0,0.090909091,0.044554455,NRS
178,178,Z Khan (INDIA),2001-2003,3,30,6.5,34,9.28,64.35,0.0,0.0,0.069306931,NRS
179,179,SP Narine (WI),2011-2013,3,19,10.0,36,11.87,83.33,0.0,0.0,0.100877193,NRS
180,180,Sohail Tanvir (PAK),2007-2009,3,18,10.11111111,59,14.0,95.78,0.0,0.055555556,0.1,NRS
181,181,TC Bastiampillai (CAN),2007-2010,4,11,14.81818182,49,14.81,63.42,0.0,0.0,0.105058366,NRS
182,182,U Bhatti (CAN),2006-2008,3,17,9.588235294,22,13.58,79.9,0.0,0.0,0.078431373,NRS
183,183,Sarfraz Ahmed (PAK),2008-2012,5,11,13.81818182,46,21.71,68.46,0.0,0.0,0.027027027000000002,NRS
184,184,R Clarke (ENG),2003-2006,4,13,11.07692308,39,11.07,62.06,0.0,0.0,0.056034482999999996,NRS
185,185,CR Woakes (ENG),2011-2013,3,10,14.1,36,23.5,73.43,0.0,0.0,0.052083332999999996,NRS
186,186,HA Varaiya (KENYA),2006-2009,4,20,6.5,34,13.0,47.44,0.0,0.0,0.02189781,NRS
187,187,DR Tuffey (NZ),2001-2003,3,28,4.464285714,20,7.81,61.88,0.0,0.0,0.064356436,NRS
188,188,JK Kamande (KENYA),2001-2003,3,10,11.7,32,16.71,48.75,0.0,0.0,0.058333333,NRS
189,189,RT Lyons (SCOT),2006-2009,4,10,8.6,28,28.66,61.42,0.0,0.0,0.057142857000000005,NRS
190,190,SI Mahmood (ENG),2004-2006,3,11,7.545454545,22,9.22,86.45,0.0,0.0,0.09375,NRS
191,191,SO Ngoche (KENYA),2010-2013,4,10,5.9,28,7.37,52.21,0.0,0.0,0.03539823,NRS
