Player,Span,Mat,Inns,NO,Runs,R/I,HS,Ave,BF,SR,100,50,0,4s,6s
T Muzarabani (ZIM),2015-2015,6,5,2,6,1.2,3,2.00,29,20.68,0,0,1,0,0,
JL Pattinson (AUS),2014-2015,4,2,1,6,3.0,4,6.00,17,35.29,0,0,0,0,0,
I Sharma (INDIA),2014-2016,10,3,1,6,2.0,5,3.00,14,42.85,0,0,1,0,0,
IS Sodhi (NZ),2015-2017,18,5,0,6,1.2,5,1.20,31,19.35,0,0,3,0,0,
DJ Worrall (AUS),2016-2016,3,1,1,6,6.0,6,-,4,150.00,0,0,0,1,0,
D Elgar (SA),2015-2015,1,1,1,5,5.0,5,-,2,250.00,0,0,0,1,0,
Najeeb Tarakai (AFG),2017-2017,1,1,0,5,5.0,5,5.00,18,27.77,0,0,0,0,0,
Tanbir Hayder (BDESH),2016-2016,2,2,0,5,2.5,3,2.50,16,31.25,0,0,0,0,0,
Al-Amin Hossain (BDESH),2014-2015,14,7,5,4,0.5714285714285714,2,2.00,20,20.00,0,0,2,0,0,
Hammad Azam (PAK),2015-2015,3,1,0,4,4.0,4,4.00,12,33.33,0,0,0,0,0,
MC Henriques (AUS),2015-2015,1,1,0,4,4.0,4,4.00,11,36.36,0,0,0,0,0,
SA Abbott (AUS),2014-2014,1,1,0,3,3.0,3,3.00,7,42.85,0,0,0,0,0,
HK Bennett (NZ),2014-2014,2,1,1,3,3.0,3,-,7,42.85,0,0,0,0,0,
SS Cottrell (WI),2015-2015,2,2,2,3,1.5,2,-,9,33.33,0,0,0,0,0,
N Pradeep (SL),2015-2015,3,2,2,3,1.5,3,-,5,60.00,0,0,0,0,0,
KOK Williams (WI),2017-2017,5,4,3,3,0.75,2,3.00,7,42.85,0,0,0,0,0,
Yamin Ahmadzai (AFG),2015-2016,3,2,1,3,1.5,3,3.00,19,15.78,0,0,1,0,0,
VR Aaron (INDIA),2014-2014,5,2,1,2,1.0,2,2.00,4,50.00,0,0,1,0,0,
HWR Cartwright (AUS),2017-2017,2,2,0,2,1.0,1,1.00,23,8.69,0,0,0,0,0,
CT Mumba (ZIM),2017-2017,1,1,1,2,2.0,2,-,2,100.00,0,0,0,0,0,
MK Tiwary (INDIA),2014-2014,1,1,0,2,2.0,2,2.00,6,33.33,0,0,0,0,0,
Abul Hasan (BDESH),2014-2015,3,1,0,1,1.0,1,1.00,3,33.33,0,0,0,0,0,
YS Chahal (INDIA),2016-2017,16,2,1,1,0.5,1,1.00,11,9.09,0,0,0,0,0,
Fareed Ahmad (AFG),2017-2017,4,2,2,1,0.5,1,-,6,16.66,0,0,0,0,0,
JM Mennie (AUS),2016-2016,2,2,0,1,0.5,1,0.50,4,25.00,0,0,1,0,0,
B Stanlake (AUS),2017-2017,2,1,1,1,1.0,1,-,6,16.66,0,0,0,0,0,
Subashis Roy (BDESH),2016-2016,1,1,1,1,1.0,1,-,9,11.11,0,0,0,0,0,
LJ Wright (ENG),2014-2014,2,2,0,1,0.5,1,0.50,14,7.14,0,0,1,0,0,
J Yadav (INDIA),2016-2016,1,1,1,1,1.0,1,-,1,100.00,0,0,0,0,0,
PLS Gamage (SL),2014-2015,5,2,2,0,0.0,0,-,12,0.00,0,0,0,0,0,
Izatullah Dawlatzai (AFG),2015-2015,1,1,0,0,0.0,0,0.00,6,0.00,0,0,1,0,0,
PHT Kaushal (SL),2015-2015,1,1,0,0,0.0,0,0.00,1,0.00,0,0,1,0,0,
AW Mathieson (NZ),2015-2015,1,1,1,0,0.0,0,-,0,-,0,0,0,0,0,
Mohammad Talha (PAK),2014-2014,3,1,0,0,0.0,0,0.00,1,0.00,0,0,1,0,0,
