,Player,Span,Years,Inns,NO/I,R/I,Avg,SR,100/I,50/I,6+4/BF,Class
128,Ahmed Shehzad (PAK),2013-2016,3,56,0.0,36.30357142857143,36.30,74.06,0.07142857142857142,0.23214285714285715,0.08087431693989071,NA
129,LRPL Taylor (NZ),2006-2009,3,54,0.1851851851851852,32.03703703703704,39.31,83.69,0.05555555555555555,0.1851851851851852,0.09530720851475567,NA
130,Shahid Afridi (PAK),2001-2005,4,71,0.056338028169014086,22.59154929577465,23.94,120.23,0.014084507042253518,0.14084507042253522,0.17091454272863568,NA
131,JC Buttler (ENG),2012-2015,3,52,0.1346153846153846,28.211538461538463,32.60,113.89,0.038461538461538464,0.1346153846153846,0.1281055900621118,NA
132,IR Bell (ENG),2004-2007,3,40,0.075,34.4,37.18,69.31,0.0,0.25,0.06347607052896725,NA
133,Imrul Kayes (BDESH),2008-2011,3,48,0.02083333333333333,27.39583333333333,27.97,65.16,0.02083333333333333,0.1875,0.07185332011892963,NA
134,JA Rudolph (Afr/SA),2003-2006,3,39,0.15384615384615385,30.102564102564106,35.57,68.05,0.0,0.1794871794871795,0.06608695652173913,NA
135,MR Marsh (AUS),2013-2016,3,38,0.18421052631578946,30.342105263157894,37.19,92.38,0.02631578947368421,0.21052631578947367,0.10416666666666667,NA
136,WTS Porterfield (IRE),2006-2009,3,37,0.08108108108108109,31.08108108108108,33.82,65.86,0.10810810810810813,0.10810810810810813,0.06815578465063,NA
137,Aftab Ahmed (BDESH),2006-2010,4,43,0.04651162790697674,23.162790697674414,24.29,83.48,0.0,0.16279069767441862,0.10477787091366304,NA
138,T Taibu (Afr/ZIM),2004-2008,4,37,0.08108108108108109,26.540540540540537,28.88,68.76,0.027027027027027032,0.13513513513513514,0.05952380952380953,NA
139,KD Karthik (INDIA),2006-2010,4,34,0.2058823529411765,23.764705882352942,29.92,77.09,0.0,0.1176470588235294,0.08587786259541985,NA
140,Mohammad Shahzad (AFG),2009-2012,3,21,0.047619047619047616,35.38095238095238,37.15,90.06,0.14285714285714285,0.14285714285714285,0.11515151515151514,NA
141,MW Machan (SCOT),2013-2016,3,22,0.0,33.36363636363637,33.36,77.1,0.045454545454545456,0.13636363636363635,0.07247899159663866,NA
142,Naeem Islam (BDESH),2008-2011,3,41,0.3414634146341464,16.365853658536587,24.85,64.08,0.0,0.04878048780487805,0.06303724928366762,NA
143,GC Wilson (IRE),2007-2010,3,24,0.08333333333333333,25.29166666666667,27.59,72.26,0.04166666666666666,0.16666666666666666,0.08452380952380953,NA
144,MA Ouma (KENYA),2004-2007,3,31,0.03225806451612903,19.387096774193548,20.03,59.74,0.0,0.0967741935483871,0.0705765407554672,NA
145,JO Holder (WI),2013-2016,3,33,0.2727272727272727,16.21212121212121,22.29,93.69,0.0,0.060606060606060615,0.11208406304728546,NA
146,Fawad Alam (PAK),2007-2010,3,20,0.4,24.0,40.00,73.05,0.0,0.15,0.0410958904109589,NA
147,LJ Wright (ENG),2007-2010,3,22,0.09090909090909093,21.227272727272727,23.35,102.41,0.0,0.09090909090909093,0.13157894736842105,NA
148,Asghar Stanikzai (AFG),2009-2012,3,21,0.14285714285714285,22.095238095238095,25.77,56.44,0.0,0.14285714285714285,0.048661800486618015,NA
149,G Gambhir (INDIA),2003-2006,3,16,0.0,25.5625,25.56,75.88,0.0625,0.0625,0.11688311688311688,NA
150,Harbhajan Singh (INDIA),2001-2005,4,44,0.25,9.068181818181818,12.09,78.69,0.0,0.0,0.08678500986193294,NA
151,RD Berrington (SCOT),2008-2011,3,18,0.05555555555555555,21.5,22.76,81.3,0.0,0.16666666666666666,0.07983193277310924,NA
152,Alok Kapali (BDESH),2005-2008,3,20,0.05,17.8,18.73,78.24,0.05,0.05,0.07912087912087913,NA
153,A Bagai (CAN),2003-2007,4,19,0.15789473684210525,18.736842105263158,22.25,55.53,0.0,0.15789473684210525,0.0608424336973479,NA
154,DL Vettori (NZ),2001-2004,3,44,0.3181818181818182,7.75,11.36,69.73,0.0,0.0,0.05112474437627812,NA
155,TT Bresnan (ENG),2006-2009,3,14,0.42857142857142855,18.071428571428573,31.62,95.47,0.0,0.07142857142857142,0.11320754716981132,NA
156,CO Obuya (KENYA),2002-2006,4,17,0.05882352941176471,14.823529411764708,15.75,58.19,0.0,0.0,0.03926096997690531,NA
157,LMP Simmons (WI),2006-2009,3,14,0.14285714285714285,17.714285714285715,20.66,57.8,0.0,0.14285714285714285,0.06526806526806526,NA
158,CL White (AUS),2005-2008,3,12,0.3333333333333333,17.083333333333332,25.62,112.63,0.0,0.0,0.10989010989010987,NA
159,AD Poynter (IRE),2008-2011,3,12,0.25,16.666666666666668,22.22,67.34,0.0,0.16666666666666666,0.06734006734006734,NA
160,JWA Taylor (ENG),2011-2014,3,6,0.0,32.666666666666664,32.66,73.96,0.0,0.3333333333333333,0.06792452830188679,NA
161,Abdur Razzak (BDESH),2004-2007,3,29,0.5172413793103449,6.206896551724138,12.85,72.28,0.0,0.0,0.060240963855421686,NA
162,JE Taylor (WI),2006-2009,3,25,0.28,7.04,9.77,86.69,0.0,0.0,0.09852216748768472,NA
163,LE Plunkett (ENG),2006-2010,4,17,0.5294117647058824,9.705882352941176,20.62,97.63,0.0,0.0,0.07100591715976333,NA
164,TC Bastiampillai (CAN),2007-2010,3,11,0.0,14.818181818181818,14.81,63.42,0.0,0.0,0.10505836575875488,NA
165,B Kumar (INDIA),2012-2015,3,22,0.2272727272727273,7.3181818181818175,9.47,80.5,0.0,0.0,0.085,NA
