id,Player,Span,Years,Inns,R/I,HS,Avrg,SR,100/I,50/I,6+4/BF,Class
175,SO Ngoche (KENYA),2010-2014,4,11,6.181818182,28,8.5,57.62,0,0,0.042372881,NA
176,A Nehra (INDIA),2001-2004,3,16,3.8125,24,10.16,72.61,0,0,0.095238095,NA
177,NM Odhiambo (KENYA),2010-2013,3,5,11,29,11,48.67,0,0,0.026548673,NA
178,BV Vitori (ZIM),2011-2014,3,9,6.111111111,20,7.85,91.66,0,0,0.133333333,NA
179,Junaid Khan (PAK),2011-2014,3,20,2.55,25,5.1,51,0,0,0.04,NA
180,Hammad Azam (PAK),2012-2015,3,3,12.66666667,30,12.66,70.37,0,0,0.074074074,NA
181,KW Richardson (AUS),2013-2016,3,4,7.5,19,15,157.89,0,0,0.210526316,NA
182,S Sreesanth (INDIA),2005-2008,3,13,2.230769231,10,4.14,34.52,0,0,0.011904762,NA
183,DAJ Bracewell (NZ),2011-2015,4,5,5.4,13,6.75,56.25,0,0,0.020833333,NA
184,EC Rainsford (ZIM),2006-2009,3,16,1.6875,9,5.4,29.34,0,0,0,NA
185,MMA Jonkman (NL),2007-2010,3,2,10,13,10,39.21,0,0,0.039215686,NA
186,Shapoor Zadran (AFG),2009-2012,3,10,2,17,4,40.81,0,0,0.06122449,NA
187,FH Edwards (WI),2003-2006,3,8,2.25,4,6,32.72,0,0,0,NA
188,AS Luseno (KENYA),2003-2006,3,5,3.4,8,17,85,0,0,0.1,NA
189,JE Root (ENG),2013-2016,3,73,41.32876712,125,45.71,85.51,0.109589041,0.232876712,0.077097506,NA
190,V Sehwag (INDIA),2001-2004,3,98,30.48979592,130,32.47,94.73,0.06122449,0.142857143,0.145529486,NA
191,MS Dhoni (Asia/INDIA),2004-2007,3,68,33.85294118,183,46.97,98.75,0.044117647,0.191176471,0.111969112,NA
192,MJ Guptill (NZ),2009-2012,3,63,34.14285714,122,37.73,80.62,0.031746032,0.26984127,0.094452774,NA
193,MDKJ Perera (SL),2013-2016,3,56,26.83928571,135,28.35,91.59,0.053571429,0.125,0.117611213,NA
194,RL Powell (WI),2001-2004,3,62,21.08064516,88,27.22,96.74,0,0.080645161,0.120651369,NA
195,RS Bopara (ENG),2007-2011,4,47,23.59574468,60,28.43,71.82,0,0.085106383,0.069300518,NA
196,Nasir Jamshed (PAK),2012-2015,3,36,29.58333333,112,30.42,69.51,0.083333333,0.111111111,0.074412533,NA
197,C Kieswetter (ENG),2010-2013,3,40,26.35,107,30.11,89.93,0.025,0.125,0.11774744,NA
198,DA Warner (AUS),2009-2012,3,34,30.88235294,163,30.88,81.83,0.058823529,0.147058824,0.092751364,NA
199,CJ Anderson (NZ),2013-2016,3,40,26.175,131,29.91,111.02,0.025,0.1,0.143160127,NA
200,KJ O'Brien (IRE),2006-2009,3,31,28.51612903,142,31.57,78.29,0.032258065,0.129032258,0.081488043,NA
201,JP Faulkner (AUS),2013-2016,3,38,22.97368421,116,39.68,111.77,0.026315789,0.105263158,0.131882202,NA
202,JDP Oram (NZ),2001-2004,3,50,15.72,81,17.86,76.01,0,0.06,0.084139265,NA
203,AN Cook (ENG),2007-2010,3,24,32.41666667,102,32.41,70.09,0.041666667,0.208333333,0.073873874,NA
204,AM Rahane (INDIA),2011-2014,3,27,25.44444444,91,25.44,72.16,0,0.185185185,0.074579832,NA
205,AD Russell (WI),2011-2014,3,28,23.78571429,92,30.27,119.78,0,0.107142857,0.165467626,NA
206,Mohammad Hafeez (PAK),2003-2006,3,35,17.37142857,69,17.88,52.82,0,0.085714286,0.06516073,NA
207,AM Blignaut (ZIM),2001-2004,3,29,16.55172414,63,21.81,111.36,0,0.137931034,0.134570766,NA
