Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I,6+4/BF
R Clarke (ENG),2003-2006,3,13,11.076923076923077,39,11.07,62.06,0.0,0.0,0.05603448275862069
KD Mills (NZ),2001-2004,3,18,7.222222222222222,23,11.81,48.68,0.0,0.0,0.03745318352059925
HA Varaiya (KENYA),2006-2009,3,20,6.5,34,13.00,47.44,0.0,0.0,0.021897810218978103
Umar Gul (PAK),2006-2009,3,18,6.166666666666667,27,10.09,70.70,0.0,0.0,0.08280254777070063
RT Lyons (SCOT),2006-2009,3,10,8.6,28,28.66,61.42,0.0,0.0,0.05714285714285714
DT Hondo (ZIM),2001-2004,3,22,3.8636363636363638,15,7.08,44.27,0.0,0.0,0.057291666666666664
CRD Fernando (SL),2001-2004,3,24,3.375,13,7.36,52.59,0.0,0.0,0.045454545454545456
SO Ngoche (KENYA),2010-2014,4,11,6.181818181818182,28,8.50,57.62,0.0,0.0,0.0423728813559322
A Nehra (INDIA),2001-2004,3,16,3.8125,24,10.16,72.61,0.0,0.0,0.09523809523809523
NM Odhiambo (KENYA),2010-2013,3,5,11.0,29,11.00,48.67,0.0,0.0,0.02654867256637168
BV Vitori (ZIM),2011-2014,3,9,6.111111111111111,20,7.85,91.66,0.0,0.0,0.13333333333333333
Junaid Khan (PAK),2011-2014,3,20,2.55,25,5.10,51.00,0.0,0.0,0.04
S Sreesanth (INDIA),2005-2008,3,13,2.230769230769231,10,4.14,34.52,0.0,0.0,0.011904761904761904
EC Rainsford (ZIM),2006-2009,3,16,1.6875,9,5.40,29.34,0.0,0.0,0.0
MMA Jonkman (NL),2007-2010,3,2,10.0,13,10.00,39.21,0.0,0.0,0.0392156862745098
Shapoor Zadran (AFG),2009-2012,3,10,2.0,17,4.00,40.81,0.0,0.0,0.061224489795918366
FH Edwards (WI),2003-2006,3,8,2.25,4,6.00,32.72,0.0,0.0,0.0
AS Luseno (KENYA),2003-2006,3,5,3.4,8,17.00,85.00,0.0,0.0,0.1
Ahsan Malik (NL),2011-2014,3,5,2.8,10,-,51.85,0.0,0.0,0.037037037037037035
VR Aaron (INDIA),2011-2014,3,3,2.6666666666666665,6,8.00,53.33,0.0,0.0,0.06666666666666667
V Sehwag (INDIA),2001-2004,3,98,30.489795918367346,130,32.47,94.73,0.061224489795918366,0.14285714285714285,0.14552948636651872
MS Dhoni (Asia/INDIA),2004-2007,3,68,33.85294117647059,183,46.97,98.75,0.04411764705882353,0.19117647058823528,0.11196911196911197
MJ Guptill (NZ),2009-2012,3,63,34.142857142857146,122,37.73,80.62,0.031746031746031744,0.2698412698412698,0.0944527736131934
RL Powell (WI),2001-2004,3,62,21.080645161290324,88,27.22,96.74,0.0,0.08064516129032258,0.12065136935603257
RS Bopara (ENG),2007-2011,4,47,23.595744680851062,60,28.43,71.82,0.0,0.0851063829787234,0.06930051813471502
C Kieswetter (ENG),2010-2013,3,40,26.35,107,30.11,89.93,0.025,0.125,0.11774744027303755
DA Warner (AUS),2009-2012,3,34,30.88235294117647,163,30.88,81.83,0.058823529411764705,0.14705882352941177,0.09275136399064692
KJ O'Brien (IRE),2006-2009,3,31,28.516129032258064,142,31.57,78.29,0.03225806451612903,0.12903225806451613,0.08148804251550044
JDP Oram (NZ),2001-2004,3,50,15.72,81,17.86,76.01,0.0,0.06,0.08413926499032882
AN Cook (ENG),2007-2010,3,24,32.416666666666664,102,32.41,70.09,0.041666666666666664,0.20833333333333334,0.07387387387387387
AM Rahane (INDIA),2011-2014,3,27,25.444444444444443,91,25.44,72.16,0.0,0.18518518518518517,0.07457983193277311
AD Russell (WI),2011-2014,3,28,23.785714285714285,92,30.27,119.78,0.0,0.10714285714285714,0.16546762589928057
Mohammad Hafeez (PAK),2003-2006,3,35,17.37142857142857,69,17.88,52.82,0.0,0.08571428571428572,0.06516072980017376
AM Blignaut (ZIM),2001-2004,3,29,16.551724137931036,63,21.81,111.36,0.0,0.13793103448275862,0.1345707656612529
MJ Prior (ENG),2004-2007,3,22,21.318181818181817,52,21.31,72.93,0.0,0.045454545454545456,0.09331259720062209
Imran Nazir (PAK),2004-2007,3,17,26.11764705882353,160,26.11,98.88,0.058823529411764705,0.058823529411764705,0.1514476614699332
PL Mommsen (SCOT),2010-2013,3,19,21.473684210526315,91,24.00,56.04,0.0,0.15789473684210525,0.04945054945054945
Samiullah Shenwari (AFG),2009-2012,3,16,23.5,82,26.85,62.98,0.0,0.125,0.06030150753768844
DS Smith (WI),2004-2007,3,14,25.571428571428573,61,29.83,65.80,0.0,0.07142857142857142,0.07352941176470588
SD Outerbridge (BMUDA),2006-2009,3,23,14.608695652173912,56,14.60,54.90,0.0,0.043478260869565216,0.05228758169934641
GEF Barnett (CAN),2006-2009,3,16,20.75,77,20.75,61.59,0.0,0.0625,0.07792207792207792
PW Borren (NL),2006-2009,3,20,16.15,96,16.15,94.72,0.0,0.1,0.09970674486803519
NN Odhiambo (KENYA),2006-2009,3,28,11.285714285714286,66,14.36,76.88,0.0,0.03571428571428571,0.0851581508515815
CR Woakes (ENG),2011-2014,3,16,17.375,41,21.38,78.30,0.0,0.0,0.061971830985915494
SP Narine (WI),2011-2014,3,32,8.5,36,10.46,78.61,0.0,0.0,0.09826589595375723
Z Khan (INDIA),2001-2004,3,39,6.897435897435898,34,10.76,74.72,0.0,0.0,0.08611111111111111
U Bhatti (CAN),2006-2009,3,21,11.428571428571429,46,16.00,76.43,0.0,0.0,0.0732484076433121
DNT Zoysa (SL),2001-2004,3,24,9.541666666666666,47,19.08,106.01,0.0,0.0,0.12037037037037036
J Botha (Afr/SA),2005-2008,3,14,11.571428571428571,46,18.00,86.63,0.0,0.0,0.08021390374331551
