Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I,6+4/BF
L Vincent (NZ),2001-2003,3,59,18.83050847457627,60,21.78,57.06,0.0,0.06779661016949153,
WW Hinds (WI),1999-2001,3,40,26.275,116,27.65,58.94,0.025,0.175,
C Kieswetter (ENG),2010-2012,3,37,27.35135135135135,107,30.66,91.08,0.02702702702702703,0.13513513513513514,
Saeed Anwar (PAK),1990-1993,4,30,29.3,126,30.31,85.33,0.1,0.06666666666666667,
SM Pollock (SA),1996-1998,3,40,21.35,75,34.16,87.14,0.0,0.1,
KD Karthik (INDIA),2006-2010,5,34,23.764705882352942,79,29.92,77.09,0.0,0.11764705882352941,
KJ O'Brien (IRE),2006-2008,3,26,29.346153846153847,142,31.79,80.65,0.038461538461538464,0.11538461538461539,
HP Tillakaratne (SL),1990-1992,3,30,23.4,76,28.08,54.54,0.0,0.06666666666666667,
AD Russell (WI),2011-2013,3,27,24.444444444444443,92,30.00,119.34,0.0,0.1111111111111111,
CB Wishart (ZIM),1996-1998,3,34,18.941176470588236,102,20.12,75.40,0.029411764705882353,0.029411764705882353,
Mohammad Hafeez (PAK),2003-2005,3,30,18.1,69,18.10,51.56,0.0,0.1,
MJ Slater (AUS),1993-1995,3,22,24.0,73,24.00,57.76,0.0,0.18181818181818182,
LJ Wright (ENG),2007-2010,4,22,21.227272727272727,52,23.35,102.41,0.0,0.09090909090909091,
A Symonds (AUS),1998-2000,3,20,23.0,68,30.66,103.13,0.0,0.05,
JDP Oram (NZ),2001-2003,3,32,13.875,59,15.85,71.38,0.0,0.03125,
PK Amre (INDIA),1991-1993,3,24,18.458333333333332,84,21.09,66.21,0.0,0.08333333333333333,
G Gambhir (INDIA),2003-2006,4,16,25.5625,103,25.56,75.88,0.0625,0.0625,
AM Rahane (INDIA),2011-2013,3,16,25.25,91,25.25,72.66,0.0,0.125,
A Bagai (CAN),2003-2007,5,19,18.736842105263158,64,22.25,55.53,0.0,0.15789473684210525,
Saleem Elahi (PAK),1998-2001,4,12,28.5,79,31.09,68.26,0.0,0.16666666666666666,
Javed Omar (BDESH),1998-2001,4,12,27.416666666666668,85,36.55,53.49,0.0,0.25,
MH Dekker (ZIM),1992-1994,3,15,21.2,79,22.71,49.14,0.0,0.13333333333333333,
AG Cremer (ZIM),2009-2011,3,28,11.285714285714286,37,16.63,63.32,0.0,0.0,
HDPK Dharmasena (SL),1994-1996,3,23,13.434782608695652,51,23.76,61.80,0.0,0.043478260869565216,
HH Kanitkar (INDIA),1997-1999,3,23,13.173913043478262,57,20.20,67.63,0.0,0.043478260869565216,
Samiullah Shenwari (AFG),2009-2011,3,12,25.0,82,30.00,69.12,0.0,0.16666666666666666,
OA Shah (ENG),2001-2003,3,15,18.866666666666667,62,21.76,65.96,0.0,0.13333333333333333,
Naimur Rahman (BDESH),1997-1999,3,15,18.466666666666665,47,19.78,56.64,0.0,0.0,
CS MacLeod (SCOT),2011-2013,3,12,22.75,99,24.81,60.00,0.0,0.08333333333333333,
PW Borren (NL),2006-2008,3,17,15.470588235294118,96,15.47,91.63,0.0,0.058823529411764705,
TT Bresnan (ENG),2006-2009,4,14,18.071428571428573,80,31.62,95.47,0.0,0.07142857142857142,
LMP Simmons (WI),2006-2009,4,14,17.714285714285715,70,20.66,57.80,0.0,0.14285714285714285,
AV Vadher (KENYA),1997-1999,3,14,17.357142857142858,73,30.37,60.59,0.0,0.14285714285714285,
MJ Prior (ENG),2004-2006,3,12,20.0,45,20.00,70.79,0.0,0.0,
TM Dilshan (SL),1999-2001,3,12,19.166666666666668,53,25.55,71.42,0.0,0.08333333333333333,
GEF Barnett (CAN),2006-2008,3,12,18.916666666666668,77,18.91,57.17,0.0,0.08333333333333333,
PL Mommsen (SCOT),2010-2012,3,11,19.0,80,19.00,51.73,0.0,0.09090909090909091,
TN Madondo (ZIM),1998-2001,4,13,14.692307692307692,71,15.91,57.70,0.0,0.07692307692307693,
SP Narine (WI),2011-2013,3,19,10.0,36,11.87,83.33,0.0,0.0,
Sohail Tanvir (PAK),2007-2009,3,18,10.11111111111111,59,14.00,95.78,0.0,0.05555555555555555,
TC Bastiampillai (CAN),2007-2010,4,11,14.818181818181818,49,14.81,63.42,0.0,0.0,
U Bhatti (CAN),2006-2008,3,17,9.588235294117647,22,13.58,79.90,0.0,0.0,
CC Lewis (ENG),1990-1993,4,21,7.571428571428571,33,10.60,85.02,0.0,0.0,
RN Lewis (WI),1997-1999,3,12,13.083333333333334,49,17.44,64.87,0.0,0.0,
CMW Read (ENG),2000-2003,4,12,12.833333333333334,30,22.00,64.43,0.0,0.0,
Sarfraz Ahmed (PAK),2008-2012,5,11,13.818181818181818,46,21.71,68.46,0.0,0.0,
SA Thomson (NZ),1990-1994,5,11,13.636363636363637,68,15.00,64.37,0.0,0.09090909090909091,
R Clarke (ENG),2003-2006,4,13,11.076923076923077,39,11.07,62.06,0.0,0.0,
CR Woakes (ENG),2011-2013,3,10,14.1,36,23.50,73.43,0.0,0.0,
