Player,Span,Inns,NO/I,R/I,Avg,SR,100/I,50/I,6+4/BF
Mohammad Ashraful (Asia/BDESH),2004-2010,124,0.08870967741935484,23.379032258064516,25.65,71.42,0.024193548387096774,0.13709677419354838,0.07686622320768663
Q de Kock (SA),2013-2016,69,0.057971014492753624,41.30434782608695,43.84,94.55,0.15942028985507245,0.11594202898550725,0.12309223623092236
Tamim Iqbal (BDESH),2009-2015,87,0.011494252873563218,31.666666666666668,32.03,82.60,0.034482758620689655,0.22988505747126436,0.10044977511244378
M Kaif (INDIA),2002-2006,108,0.2037037037037037,25.09259259259259,31.51,71.40,0.018518518518518517,0.1574074074074074,0.06086956521739131
Salman Butt (PAK),2004-2010,75,0.05333333333333334,35.70666666666666,37.71,76.49,0.10666666666666667,0.18666666666666668,0.09797200799771494
EJG Morgan (ENG/IRE),2007-2012,80,0.2125,31.325,39.77,85.55,0.05,0.2,0.09115739160122908
Abdul Razzaq (Asia/PAK),2001-2005,99,0.21212121212121213,24.292929292929294,30.83,82.61,0.020202020202020204,0.10101010101010101,0.08141532119546548
Umar Akmal (PAK),2010-2015,84,0.14285714285714285,28.583333333333332,33.34,86.55,0.011904761904761904,0.19047619047619047,0.08940158615717375
HDRL Thirimanne (SL),2010-2015,76,0.11842105263157894,30.526315789473685,34.62,71.38,0.05263157894736842,0.18421052631578946,0.06276923076923077
LD Chandimal (SL),2010-2015,91,0.17582417582417584,25.46153846153846,30.89,75.71,0.02197802197802198,0.15384615384615385,0.06372549019607843
DPMD Jayawardene (SL),2001-2003,78,0.10256410256410256,29.141025641025642,32.47,72.64,0.038461538461538464,0.14102564102564102,0.06072227548737616
MS Dhoni (Asia/INDIA),2004-2007,65,0.2923076923076923,34.63076923076923,48.93,100.08,0.046153846153846156,0.2,0.11471765228990663
E Chigumbura (ZIM),2006-2012,100,0.12,22.07,25.07,82.13,0.0,0.11,0.0867138072199479
DM Bravo (WI),2009-2014,75,0.10666666666666667,28.84,32.28,70.73,0.02666666666666667,0.21333333333333335,0.0748855461085677
MJ Guptill (NZ),2009-2012,63,0.09523809523809523,34.142857142857146,37.73,80.62,0.031746031746031744,0.2698412698412698,0.0944527736131934
LRPL Taylor (NZ),2006-2010,71,0.15492957746478872,30.281690140845072,35.83,83.20,0.04225352112676056,0.19718309859154928,0.0936532507739938
Shahriar Nafees (BDESH),2005-2011,69,0.07246376811594203,30.92753623188406,33.34,70.61,0.057971014492753624,0.18840579710144928,0.09099933818663138
Younis Khan (PAK),2001-2003,74,0.16216216216216217,28.756756756756758,34.32,74.66,0.0,0.24324324324324326,0.060350877192982454
IR Bell (ENG),2004-2008,61,0.04918032786885246,33.90163934426229,35.65,72.03,0.01639344262295082,0.22950819672131148,0.0724486241727621
RG Sharma (INDIA),2007-2013,83,0.1927710843373494,24.879518072289155,30.82,78.21,0.024096385542168676,0.1566265060240964,0.06553030303030304
JC Buttler (ENG),2012-2016,65,0.16923076923076924,31.353846153846153,37.74,120.02,0.06153846153846154,0.15384615384615385,0.14075382803297998
Ahmed Shehzad (PAK),2013-2016,56,0.0,36.30357142857143,36.30,74.06,0.07142857142857142,0.23214285714285715,0.08087431693989071
Mushfiqur Rahim (BDESH),2007-2013,89,0.14606741573033707,22.314606741573034,26.13,69.88,0.011235955056179775,0.10112359550561797,0.06298381421534131
KC Sangakkara (SL),2001-2003,74,0.10810810810810811,24.12162162162162,27.04,70.08,0.02702702702702703,0.0945945945945946,0.07106399685904986
AD Mathews (SL),2008-2013,73,0.273972602739726,24.027397260273972,33.09,82.85,0.0,0.1780821917808219,0.0680207841284837
KA Pollard (WI),2008-2013,67,0.05970149253731343,26.0,27.65,96.13,0.04477611940298507,0.08955223880597014,0.1076158940397351
Shahid Afridi (Asia/PAK),2001-2006,74,0.04054054054054054,23.31081081081081,24.29,119.04,0.02702702702702703,0.13513513513513514,0.17805383022774326
S Matsikenyeri (ZIM),2003-2009,80,0.0375,21.1125,21.93,71.08,0.0,0.125,0.07996632996632996
MN Samuels (WI),2001-2007,66,0.16666666666666666,25.560606060606062,30.67,76.05,0.030303030303030304,0.15151515151515152,0.09197475202885483
V Sibanda (Afr/ZIM),2003-2009,78,0.02564102564102564,21.5,22.06,60.47,0.01282051282051282,0.14102564102564102,0.07500901550667148
T Taibu (Afr/ZIM),2003-2009,70,0.08571428571428572,23.928571428571427,26.17,65.45,0.014285714285714285,0.11428571428571428,0.053536537710042985
DA Miller (SA),2010-2015,63,0.31746031746031744,25.984126984126984,38.06,102.56,0.031746031746031744,0.12698412698412698,0.10651629072681704
PR Stirling (IRE),2010-2016,50,0.02,31.3,31.93,98.18,0.1,0.08,0.1342534504391468
HH Dippenaar (SA),2001-2003,40,0.15,38.85,45.70,65.73,0.0,0.35,0.06598984771573604
SPD Smith (AUS),2010-2015,44,0.1590909090909091,35.20454545454545,41.86,89.48,0.09090909090909091,0.1590909090909091,0.08087810514153669
H Masakadza (ZIM),2004-2009,65,0.046153846153846156,23.615384615384617,24.75,71.56,0.0,0.18461538461538463,0.08205128205128205
Aftab Ahmed (BDESH),2006-2010,63,0.06349206349206349,24.0,25.62,88.88,0.0,0.1746031746031746,0.11875367430922987
CD McMillan (NZ),2001-2002,48,0.0625,31.416666666666668,33.51,78.95,0.041666666666666664,0.16666666666666666,0.07382198952879582
MDKJ Perera (SL),2013-2016,56,0.05357142857142857,26.839285714285715,28.35,91.59,0.05357142857142857,0.125,0.11761121267519806
DJ Bravo (WI),2004-2009,75,0.2,19.933333333333334,24.91,81.64,0.013333333333333334,0.05333333333333334,0.08246859639541235
RA Jadeja (INDIA),2009-2014,66,0.3484848484848485,21.348484848484848,32.76,81.87,0.0,0.12121212121212122,0.08192911098198721
Mahmudullah (BDESH),2007-2011,61,0.29508196721311475,22.147540983606557,31.41,69.46,0.0,0.09836065573770492,0.0544987146529563
DD Ebrahim (ZIM),2001-2005,70,0.05714285714285714,19.185714285714287,20.34,55.22,0.014285714285714285,0.05714285714285714,0.039884868421052634
Imrul Kayes (BDESH),2008-2011,48,0.020833333333333332,27.395833333333332,27.97,65.16,0.020833333333333332,0.1875,0.07185332011892963
WTS Porterfield (IRE),2006-2010,41,0.07317073170731707,32.02439024390244,34.55,67.78,0.12195121951219512,0.0975609756097561,0.07124419204956117
Raqibul Hasan (BDESH),2008-2011,53,0.1320754716981132,24.641509433962263,28.39,61.31,0.0,0.1509433962264151,0.051643192488262914
TWM Latham (NZ),2012-2016,45,0.13333333333333333,28.42222222222222,32.79,78.70,0.044444444444444446,0.13333333333333333,0.08184615384615385
CK Kapugedera (SL),2007-2012,59,0.0847457627118644,21.593220338983052,23.59,70.38,0.0,0.11864406779661017,0.05966850828729282
JP Duminy (SA),2004-2010,44,0.25,28.59090909090909,38.12,82.49,0.022727272727272728,0.13636363636363635,0.07147540983606557
RL Powell (WI),2001-2004,59,0.23728813559322035,21.28813559322034,27.91,96.98,0.0,0.0847457627118644,0.12123552123552124
KP Pietersen (ENG/ICC),2004-2006,26,0.23076923076923078,48.15384615384615,62.60,97.58,0.11538461538461539,0.34615384615384615,0.12003117692907249
Junaid Siddique (BDESH),2007-2011,53,0.018867924528301886,22.566037735849058,23.00,68.22,0.018867924528301886,0.11320754716981132,0.0713063320022818
MR Marsh (AUS),2013-2016,40,0.175,29.75,36.06,94.51,0.025,0.225,0.10802223987291501
